,Time,Threshold,TN,FP,FN,TP
0,1,0.05,0,8148,0,12079
1,1,0.1,0,8148,0,12079
2,1,0.15000000000000002,0,8148,0,12079
3,1,0.2,0,8148,0,12079
4,1,0.25,1,8147,0,12079
5,1,0.30000000000000004,59,8089,17,12062
6,1,0.35000000000000003,100,8048,34,12045
7,1,0.4,302,7846,158,11921
8,1,0.45,440,7708,246,11833
9,1,0.5,972,7176,732,11347
10,1,0.55,1650,6498,1496,10583
11,1,0.6000000000000001,4366,3782,5314,6765
12,1,0.65,7046,1102,9622,2457
13,1,0.7000000000000001,7799,349,11158,921
14,1,0.75,8121,27,12008,71
15,1,0.8,8145,3,12078,1
16,1,0.8500000000000001,8147,1,12079,0
17,1,0.9,8148,0,12079,0
18,1,0.9500000000000001,8148,0,12079,0
19,2,0.05,0,6874,0,11483
20,2,0.1,0,6874,0,11483
21,2,0.15000000000000002,0,6874,0,11483
22,2,0.2,0,6874,0,11483
23,2,0.25,0,6874,0,11483
24,2,0.30000000000000004,2,6872,0,11483
25,2,0.35000000000000003,11,6863,9,11474
26,2,0.4,39,6835,30,11453
27,2,0.45,122,6752,100,11383
28,2,0.5,332,6542,273,11210
29,2,0.55,713,6161,738,10745
30,2,0.6000000000000001,1688,5186,2064,9419
31,2,0.65,3341,3533,4694,6789
32,2,0.7000000000000001,5840,1034,9087,2396
33,2,0.75,6511,363,10573,910
34,2,0.8,6855,19,11434,49
35,2,0.8500000000000001,6871,3,11476,7
36,2,0.9,6874,0,11481,2
37,2,0.9500000000000001,6874,0,11483,0
38,3,0.05,0,6118,0,10972
39,3,0.1,0,6118,0,10972
40,3,0.15000000000000002,0,6118,0,10972
41,3,0.2,1,6117,1,10971
42,3,0.25,2,6116,3,10969
43,3,0.30000000000000004,15,6103,12,10960
44,3,0.35000000000000003,59,6059,51,10921
45,3,0.4,133,5985,116,10856
46,3,0.45,383,5735,359,10613
47,3,0.5,791,5327,890,10082
48,3,0.55,1781,4337,2505,8467
49,3,0.6000000000000001,3671,2447,5890,5082
50,3,0.65,5372,746,9127,1845
51,3,0.7000000000000001,5828,290,10165,807
52,3,0.75,6100,18,10919,53
53,3,0.8,6116,2,10970,2
54,3,0.8500000000000001,6118,0,10972,0
55,3,0.9,6118,0,10972,0
56,3,0.9500000000000001,6118,0,10972,0
57,4,0.05,0,5552,0,10558
